" Time ","",""," Magnitude ",""," EventLocationName"
"2019-09-24T07:30:49.1Z","","","3.1","","WESTERN TURKEY"
"2019-09-24T08:00:22.3Z","","","4.9","","WESTERN TURKEY"
"2019-09-24T08:57:22.1Z","","","3.3","","WESTERN TURKEY"
"2019-09-24T11:19:15.9Z","","","3.4","","WESTERN TURKEY"
"2019-09-25T13:07:59.0Z","","","3.3","","WESTERN TURKEY"
"2019-09-26T07:32:07.0Z","","","3.7","","WESTERN TURKEY"
"2019-09-26T09:00:16.2Z","","","3","","WESTERN TURKEY"
"2019-09-26T10:59:25.1Z","","","5.7","","WESTERN TURKEY"
"2019-09-26T11:04:03.4Z","","","3.1","","WESTERN TURKEY"
"2019-09-26T11:08:59.1Z","","","3.2","","WESTERN TURKEY"
"2019-09-26T11:11:34.5Z","","","3.3","","WESTERN TURKEY"
"2019-09-26T11:19:55.0Z","","","3.1","","WESTERN TURKEY"
"2019-09-26T11:26:36.4Z","","","4.2","","WESTERN TURKEY"
"2019-09-26T11:29:14.2Z","","","3.1","","WESTERN TURKEY"
"2019-09-26T11:31:51.8Z","","","3","","WESTERN TURKEY"
"2019-09-26T11:34:03.0Z","","","3.2","","WESTERN TURKEY"
"2019-09-26T12:14:51.2Z","","","3.2","","AEGEAN SEA"
"2019-09-26T12:15:05.2Z","","","3.4","","WESTERN TURKEY"
"2019-09-26T12:17:09.6Z","","","3.8","","WESTERN TURKEY"
"2019-09-26T12:26:10.9Z","","","3.5","","WESTERN TURKEY"
"2019-09-26T12:33:11.9Z","","","3.8","","AEGEAN SEA"
"2019-09-26T12:59:00.0Z","","","3.4","","WESTERN TURKEY"
"2019-09-26T13:05:05.2Z","","","3.1","","AEGEAN SEA"
"2019-09-26T13:33:44.2Z","","","3","","WESTERN TURKEY"
"2019-09-26T13:44:37.2Z","","","3","","WESTERN TURKEY"
"2019-09-26T13:57:01.6Z","","","3.2","","WESTERN TURKEY"
"2019-09-26T14:01:56.6Z","","","3","","WESTERN TURKEY"
"2019-09-26T15:39:21.4Z","","","3","","WESTERN TURKEY"
"2019-09-26T20:02:40.9Z","","","3.7","","WESTERN TURKEY"
"2019-09-26T20:19:18.9Z","","","4.3","","WESTERN TURKEY"
"2019-09-26T23:03:11.6Z","","","3.5","","WESTERN TURKEY"
"2019-09-27T10:32:31.6Z","","","3.2","","WESTERN TURKEY"
"2019-09-27T11:13:46.9Z","","","3.3","","WESTERN TURKEY"
"2019-09-27T13:35:47.7Z","","","3.8","","WESTERN TURKEY"
"2019-09-28T11:03:04.2Z","","","4","","WESTERN TURKEY"
"2019-09-28T14:28:39.2Z","","","3","","WESTERN TURKEY"
"2019-09-29T06:10:58.0Z","","","3.4","","WESTERN TURKEY"
"2019-09-30T13:43:56.0Z","","","3.3","","WESTERN TURKEY"
"2019-10-04T15:54:30.6Z","","","3.5","","WESTERN TURKEY"
"2019-10-09T00:48:12.2Z","","","3.3","","WESTERN TURKEY"
"2019-10-09T06:27:40.0Z","","","3.1","","WESTERN TURKEY"
"2019-10-09T13:37:46.6Z","","","3.5","","WESTERN TURKEY"
"2019-10-10T16:52:03.9Z","","","4","","WESTERN TURKEY"
"2019-10-10T17:04:39.2Z","","","3.1","","WESTERN TURKEY"
"2019-10-10T17:09:40.2Z","","","3.3","","WESTERN TURKEY"
"2019-10-10T19:32:07.3Z","","","3.7","","WESTERN TURKEY"
"2019-10-10T23:55:58.1Z","","","4.2","","AEGEAN SEA"
"2019-10-11T00:29:49.4Z","","","3.2","","AEGEAN SEA"
"2019-10-11T03:38:13.4Z","","","3.2","","AEGEAN SEA"
"2019-10-12T04:23:38.4Z","","","3","","AEGEAN SEA"
"2019-10-19T07:34:04.5Z","","","3","","WESTERN TURKEY"
"2019-10-25T12:56:23.7Z","","","3.2","","WESTERN TURKEY"
"2019-10-27T09:17:32.1Z","","","3.1","","NEAR THE COAST OF WESTERN TURKEY"
"2019-10-27T10:18:46.8Z","","","3.2","","WESTERN TURKEY"
"2019-10-29T15:38:41.7Z","","","3","","WESTERN TURKEY"
"2019-11-04T05:39:50.8Z","","","3.1","","NEAR THE COAST OF WESTERN TURKEY"
"2019-11-08T09:47:24.0Z","","","3","","NEAR THE COAST OF WESTERN TURKEY"
"2019-11-09T23:44:55.1Z","","","3.3","","WESTERN TURKEY"
"2019-11-10T15:16:13.1Z","","","3","","NEAR THE COAST OF WESTERN TURKEY"
"2019-11-17T23:23:32.0Z","","","3.2","","WESTERN TURKEY"
"2019-11-20T03:51:49.7Z","","","3.2","","WESTERN TURKEY"
"2019-11-21T05:47:19.8Z","","","3.2","","NEAR THE COAST OF WESTERN TURKEY"
"2019-11-21T12:15:36.9Z","","","3.9","","WESTERN TURKEY"
"2019-11-21T12:27:20.7Z","","","3.5","","WESTERN TURKEY"
"2019-11-22T14:35:43.1Z","","","3.7","","WESTERN TURKEY"
"2019-11-22T14:36:45.8Z","","","3.7","","WESTERN TURKEY"
"2019-11-25T17:22:21.3Z","","","3.1","","WESTERN TURKEY"
"2019-11-26T22:57:29.0Z","","","3.2","","WESTERN TURKEY"
"2019-11-28T11:37:51.1Z","","","3.4","","BLACK SEA"
"2019-12-01T02:52:32.7Z","","","3.2","","WESTERN TURKEY"
"2019-12-06T22:36:16.9Z","","","3.6","","WESTERN TURKEY"
"2019-12-07T02:32:06.2Z","","","3","","WESTERN TURKEY"
"2019-12-07T19:01:58.4Z","","","3.2","","AEGEAN SEA"
"2019-12-09T02:22:09.5Z","","","3.1","","WESTERN TURKEY"
"2019-12-10T20:14:02.9Z","","","4.7","","WESTERN TURKEY"
"2019-12-10T20:24:05.3Z","","","4.5","","WESTERN TURKEY"
"2019-12-10T20:27:25.3Z","","","3.1","","WESTERN TURKEY"
